RatingId,UserId,MovieId,Score
1,20,570,1
2,22,680,1
3,10,799,1
4,16,523,4
5,25,520,5
6,17,664,4
7,30,672,4
8,13,687,4
9,21,571,5
10,16,644,1
11,6,565,1
12,6,647,4
13,14,705,1
14,13,790,2
15,10,648,4
16,8,549,3
17,24,562,1
18,6,699,1
19,26,625,1
20,24,784,2
21,1,744,1
22,4,703,3
23,30,610,4
24,1,654,2
25,14,602,2
26,3,666,3
27,2,551,2
28,1,747,1
29,7,601,4
30,8,761,1
31,21,635,4
32,24,527,3
33,24,695,3
34,1,667,3
35,6,620,3
36,26,509,1
37,11,735,4
38,26,674,2
39,20,628,5
40,15,534,2
41,30,650,1
42,14,782,2
43,17,719,3
44,16,547,4
45,3,562,4
46,22,716,5
47,3,780,5
48,3,647,4
49,11,749,4
50,15,615,2
51,1,569,5
52,8,654,5
53,12,719,5
54,27,622,4
55,6,543,2
56,29,711,3
57,12,787,4
58,1,537,5
59,15,515,2
60,1,756,5
61,2,702,5
62,10,689,3
63,1,522,1
64,9,704,3
65,22,534,2
66,6,693,4
67,11,660,4
68,17,789,3
69,19,671,3
70,30,594,5
71,9,594,3
72,28,767,4
73,21,529,4
74,21,574,1
75,2,761,1
76,13,617,4
77,28,679,4
78,16,586,3
79,2,604,1
80,6,538,4
81,18,690,4
82,30,520,2
83,4,623,4
84,29,788,3
85,6,537,2
86,25,734,4
87,26,729,1
88,1,724,1
89,14,617,3
90,8,583,4
91,27,550,5
92,7,780,5
93,15,643,3
94,13,599,1
95,18,775,1
96,17,578,3
97,21,734,1
98,13,659,2
99,28,527,3
100,8,777,4
101,18,523,3
102,16,616,2
103,14,761,3
104,11,685,2
105,8,757,5
106,5,501,2
107,27,557,5
108,15,761,1
109,13,672,3
110,25,766,4
111,8,710,2
112,24,676,2
113,10,520,3
114,1,646,1
115,10,685,3
116,2,726,5
117,17,693,5
118,22,664,5
119,21,646,5
120,21,797,2
121,30,696,1
122,22,608,5
123,16,557,4
124,1,757,5
125,5,653,4
126,14,750,2
127,20,667,4
128,9,727,3
129,10,752,3
130,27,657,2
131,14,521,4
132,10,701,5
133,1,638,3
134,10,690,5
135,3,741,3
136,10,515,2
137,7,584,5
138,21,656,1
139,25,650,1
140,15,760,3
141,13,748,1
142,25,570,3
143,22,547,5
144,25,786,2
145,21,588,3
146,16,633,1
147,1,753,3
148,17,751,4
149,26,567,5
150,21,529,2
151,29,672,4
152,21,607,2
153,16,756,5
154,10,611,3
155,1,607,1
156,28,727,2
157,22,515,1
158,27,644,2
159,17,500,3
160,2,560,3
161,10,622,2
162,19,631,4
163,18,622,2
164,25,567,1
165,6,655,1
166,10,500,3
167,25,591,3
168,18,532,3
169,20,795,3
170,21,726,5
171,26,512,5
172,26,748,4
173,21,708,2
174,14,678,3
175,23,525,5
176,22,509,1
177,22,545,5
178,6,742,3
179,16,552,5
180,19,578,4
181,7,613,5
182,7,649,4
183,25,744,2
184,13,675,2
185,21,730,1
186,20,514,4
187,10,735,3
188,7,761,1
189,26,725,3
190,13,574,3
191,5,731,2
192,7,507,4
193,9,685,1
194,25,732,1
195,29,754,3
196,24,702,5
197,18,528,3
198,19,727,3
199,16,714,4
200,22,556,5
201,4,608,5
202,29,667,4
203,10,786,1
204,19,576,1
205,29,543,2
206,25,796,3
207,12,576,5
208,19,724,3
209,10,626,4
210,30,745,1
211,11,743,3
212,27,543,3
213,16,713,4
214,11,747,5
215,28,596,1
216,25,691,5
217,2,696,2
218,29,567,1
219,22,514,3
220,6,648,2
221,5,709,1
222,20,529,2
223,16,578,2
224,8,665,1
225,23,504,1
226,18,537,5
227,14,526,5
228,27,560,3
229,4,725,5
230,24,776,3
231,26,631,5
232,28,729,5
233,27,662,5
234,22,543,3
235,5,787,2
236,14,745,2
237,30,798,3
238,9,716,3
239,14,602,3
240,22,731,1
241,15,594,4
242,21,676,1
243,13,590,2
244,7,751,2
245,21,707,1
246,4,712,2
247,9,676,3
248,5,635,4
249,17,589,4
250,12,626,5
251,11,503,3
252,4,574,2
253,11,737,3
254,4,685,2
255,25,607,4
256,8,732,5
257,15,551,3
258,13,754,2
259,19,553,1
260,5,626,3
261,11,689,5
262,15,788,4
263,13,535,3
264,4,563,1
265,5,664,5
266,3,742,5
267,10,596,5
268,4,710,5
269,1,605,4
270,15,542,5
271,10,693,5
272,29,627,1
273,21,565,4
274,27,778,5
275,19,526,1
276,18,600,2
277,7,708,2
278,8,555,4
279,13,727,2
280,12,762,5
281,26,597,1
282,12,707,2
283,24,768,2
284,26,664,4
285,4,586,3
286,21,770,5
287,17,583,3
288,23,615,2
289,5,663,2
290,15,781,2
291,14,540,3
292,2,767,1
293,8,694,1
294,7,717,5
295,29,512,4
296,12,770,1
297,22,723,2
298,21,766,2
299,22,512,4
300,4,568,1
301,14,605,1
302,22,685,2
303,12,520,2
304,27,750,5
305,19,710,2
306,4,599,1
307,21,573,4
308,8,790,4
309,21,577,4
310,1,718,2
311,20,554,1
312,16,758,5
313,7,728,5
314,19,718,1
315,30,675,1
316,20,601,5
317,18,707,2
318,25,700,3
319,28,702,1
320,22,509,5
321,29,681,1
322,26,568,3
323,9,751,2
324,25,780,3
325,26,758,2
326,13,692,5
327,26,746,4
328,12,649,5
329,30,655,5
330,12,500,5
331,3,591,2
332,12,718,1
333,20,532,4
334,19,744,1
335,19,609,2
336,29,589,1
337,3,721,3
338,10,592,4
339,12,646,2
340,10,593,2
341,27,691,3
342,21,673,4
343,24,563,4
344,12,786,5
345,11,749,2
346,23,557,1
347,8,570,2
348,3,529,4
349,13,736,2
350,15,694,2
351,15,799,3
352,22,752,1
353,26,564,4
354,28,733,5
355,1,547,3
356,29,705,2
357,17,542,3
358,28,548,4
359,24,589,5
360,11,676,3
361,27,562,2
362,14,655,4
363,10,553,2
364,21,690,5
365,10,782,5
366,3,555,4
367,6,676,3
368,20,788,4
369,9,565,3
370,14,766,3
371,19,633,1
372,8,614,1
373,4,663,4
374,20,591,1
375,28,566,1
376,17,790,1
377,26,508,3
378,24,598,5
379,29,520,2
380,8,520,3
381,9,505,2
382,7,561,5
383,5,528,5
384,21,552,1
385,26,570,4
386,14,658,3
387,16,608,4
388,5,617,1
389,10,520,4
390,8,629,2
391,24,715,4
392,1,638,4
393,15,584,1
394,29,579,4
395,30,668,2
396,20,756,5
397,18,744,3
398,8,718,1
399,24,752,2
400,12,703,2
401,5,708,1
402,13,620,2
403,5,550,5
404,26,513,2
405,12,560,4
406,12,689,1
407,18,779,1
408,19,788,1
409,16,624,1
410,16,739,1
411,27,636,4
412,13,720,4
413,5,520,2
414,9,566,3
415,12,522,3
416,16,704,1
417,16,619,2
418,11,567,1
419,12,718,1
420,7,786,1
421,8,523,2
422,21,576,3
423,16,542,4
424,4,570,4
425,11,735,3
426,11,654,4
427,4,612,1
428,23,616,2
429,30,521,5
430,3,796,2
431,20,575,3
432,11,552,1
433,2,608,5
434,8,662,1
435,14,766,5
436,15,707,4
437,13,685,2
438,9,643,5
439,5,775,3
440,19,627,2
441,9,554,2
442,6,735,1
443,6,571,1
444,18,668,4
445,7,708,3
446,4,566,2
447,15,619,2
448,5,656,1
449,23,630,2
450,4,669,1
451,30,628,2
452,14,721,3
453,18,761,1
454,9,580,5
455,18,536,2
456,28,545,2
457,20,500,5
458,8,558,5
459,5,507,3
460,26,554,3
461,5,621,4
462,26,591,4
463,12,561,4
464,16,634,2
465,24,597,1
466,17,686,4
467,23,504,4
468,18,549,5
469,15,527,4
470,24,593,5
471,10,627,4
472,21,728,5
473,2,636,4
474,19,600,1
475,22,592,2
476,18,800,3
477,28,741,4
478,10,723,3
479,12,570,5
480,26,776,4
481,1,631,1
482,10,685,4
483,15,708,3
484,6,682,3
485,21,514,5
486,4,616,1
487,18,683,2
488,1,556,5
489,7,624,2
490,21,610,3
491,9,527,4
492,16,570,1
493,4,513,3
494,4,598,4
495,15,745,1
496,10,616,1
497,23,522,1
498,4,535,5
499,9,628,3
500,4,783,1